
2023/11/22 (22:31:43) | ===> btop++ v.1.2.13
2023/11/22 (22:31:43) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/22 (22:33:38) | ===> btop++ v.1.2.13
2023/11/22 (22:33:38) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/22 (22:33:56) | ===> btop++ v.1.2.13
2023/11/22 (22:33:56) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/23 (11:00:15) | ===> btop++ v.1.2.13
2023/11/23 (11:00:15) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/24 (13:49:31) | ===> btop++ v.1.2.13
2023/11/24 (13:49:31) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/28 (16:55:02) | ===> btop++ v.1.2.13
2023/11/28 (16:55:02) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/05 (14:13:05) | ===> btop++ v.1.2.13
2023/12/05 (14:13:05) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/18 (16:09:48) | ===> btop++ v.1.2.13
2023/12/18 (16:09:48) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/08 (13:02:49) | ===> btop++ v.1.2.13
2024/01/08 (13:02:49) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
